var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW
161,x_j03_p300_s03,3,300,3,12,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
162,x_j03_p300_s04,3,300,4,13,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
163,x_j03_p300_s05,3,300,5,14,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
164,x_j03_p300_s06,3,300,6,15,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
165,x_j03_p300_s07,3,300,7,16,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
166,x_j03_p300_s08,3,300,8,17,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
167,x_j03_p300_s09,3,300,9,18,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
168,x_j03_p300_s10,3,300,10,19,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
169,x_j03_p300_s11,3,300,11,20,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
170,x_j03_p300_s12,3,300,12,21,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
171,x_j03_p300_s13,3,300,13,22,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
172,x_j03_p300_s14,3,300,14,23,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
173,x_j03_p300_s15,3,300,15,24,9,109.78333333333333,127.72178649237473,0.8595505617977528,8,0.28933040092053547,2.3146432073642838
174,x_j03_p350_s00,3,350,0,9,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
175,x_j03_p350_s01,3,350,1,10,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
176,x_j03_p350_s02,3,350,2,11,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
177,x_j03_p350_s03,3,350,3,12,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
178,x_j03_p350_s04,3,350,4,13,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
179,x_j03_p350_s05,3,350,5,14,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
180,x_j03_p350_s06,3,350,6,15,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
181,x_j03_p350_s07,3,350,7,16,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
182,x_j03_p350_s08,3,350,8,17,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
183,x_j03_p350_s09,3,350,9,18,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
184,x_j03_p350_s10,3,350,10,19,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
185,x_j03_p350_s11,3,350,11,20,9,109.78333333333333,120.4289898989899,0.9116022099447514,8,0.33096245080559017,2.6476996064447214
