var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW,source_file
156,x_j03_p250_s13,3,250,13,23,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_16_chosen_variables.csv
210,x_j04_p250_s03,4,250,3,16,13,144.71666666666667,185.3206235011991,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_16_chosen_variables.csv
643,x_j12_p300_s00,12,300,0,8,8,101.81666666666666,118.45337690631808,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_16_chosen_variables.csv
741,x_j14_p250_s00,14,250,0,13,13,140.73333333333332,180.21966426858515,0.7808988764044943,25,0.2430791849170746,6.076979622926864,event_16_chosen_variables.csv
868,x_j16_p300_s13,16,300,13,24,11,136.21666666666667,158.47429193899782,0.8595505617977528,17,0.2893304009205354,4.918616815649102,event_16_chosen_variables.csv
20,x_j00_p300_s10,0,300,10,24,14,171.85,199.9300653594771,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_17_chosen_variables.csv
232,x_j04_p350_s00,4,350,0,11,11,144.71666666666667,158.749797979798,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_17_chosen_variables.csv
333,x_j06_p300_s11,6,300,11,24,13,164.6,191.4954248366013,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_17_chosen_variables.csv
641,x_j12_p250_s14,12,250,14,23,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_17_chosen_variables.csv
716,x_j13_p350_s00,13,350,0,13,13,168.61666666666667,184.96737373737372,0.9116022099447514,18,0.3309624508055901,5.957324114500622,event_17_chosen_variables.csv
868,x_j16_p300_s13,16,300,13,24,11,136.21666666666667,158.47429193899782,0.8595505617977528,17,0.2893304009205354,4.918616815649102,event_17_chosen_variables.csv
32,x_j00_p350_s11,0,350,11,24,13,171.85,188.5142424242424,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_18_chosen_variables.csv
54,x_j01_p250_s08,1,250,8,23,15,169.76666666666668,217.3990407673861,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_18_chosen_variables.csv
190,x_j03_p400_s00,3,400,0,8,8,109.78333333333332,109.78333333333332,1.0,8,0.3675694379147809,2.9405555033182478,event_18_chosen_variables.csv
210,x_j04_p250_s03,4,250,3,16,13,144.71666666666667,185.3206235011991,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_18_chosen_variables.csv
376,x_j07_p250_s16,7,250,16,24,8,92.91666666666669,118.9868105515588,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_18_chosen_variables.csv
558,x_j10_p350_s11,10,350,11,24,13,175.28333333333333,192.28050505050504,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_18_chosen_variables.csv
584,x_j11_p300_s00,11,300,0,11,11,141.3,164.38823529411766,0.8595505617977528,13,0.2893304009205354,3.761295211966961,event_18_chosen_variables.csv
21,x_j00_p350_s00,0,350,0,13,13,171.85,188.5142424242424,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_19_chosen_variables.csv
142,x_j02_p400_s13,2,400,13,24,11,153.65,153.65,1.0,8,0.3675694379147809,2.9405555033182478,event_19_chosen_variables.csv
218,x_j04_p250_s11,4,250,11,24,13,144.71666666666667,185.3206235011991,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_19_chosen_variables.csv
261,x_j05_p250_s00,5,250,0,14,14,154.35,197.6568345323741,0.7808988764044943,11,0.2430791849170746,2.6738710340878207,event_19_chosen_variables.csv
346,x_j06_p400_s00,6,400,0,11,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182478,event_19_chosen_variables.csv
374,x_j07_p250_s14,7,250,14,22,8,92.91666666666669,118.9868105515588,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_19_chosen_variables.csv
558,x_j10_p350_s11,10,350,11,24,13,175.28333333333333,192.28050505050504,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_19_chosen_variables.csv
